"","mrk","LG","pos"
"1","solcap_snp_c2_23780","lg5",0
"2","solcap_snp_c2_23781","lg5",0.0395871532269128
"3","solcap_snp_c2_23803","lg5",1.74012905961439
"4","solcap_snp_c2_23804","lg5",2.37923123435854
"5","solcap_snp_c2_23805","lg5",2.38023124435867
"6","solcap_snp_c1_7632","lg5",2.38123125435881
"7","solcap_snp_c2_23643","lg5",4.23783791253665
"8","solcap_snp_c2_23669","lg5",4.29060950037297
"9","solcap_snp_c2_23678","lg5",5.56805568220369
"10","solcap_snp_c2_23717","lg5",7.14078833820042
"11","solcap_snp_c2_23727","lg5",8.13103642571103
"12","solcap_snp_c2_23728","lg5",8.76275528003336
"13","solcap_snp_c1_7621","lg5",10.1112332944563
"14","solcap_snp_c1_7622","lg5",11.0054966066801
"15","solcap_snp_c1_7624","lg5",12.1168876064857
"16","solcap_snp_c2_23828","lg5",16.893353588004
"17","solcap_snp_c2_23829","lg5",17.4982119773384
"18","solcap_snp_c2_23831","lg5",17.4992119873385
"19","solcap_snp_c2_23832","lg5",17.5598264056747
"20","solcap_snp_c2_23834","lg5",18.8122953296148
"21","solcap_snp_c2_23836","lg5",18.8900959029229
"22","solcap_snp_c2_23841","lg5",19.2455508891721
"23","solcap_snp_c2_23842","lg5",20.094651670568
"24","solcap_snp_c2_23843","lg5",20.4063536210363
"25","solcap_snp_c2_23846","lg5",20.4220460323677
"26","solcap_snp_c1_15684","lg5",21.1880018312486
"27","solcap_snp_c2_40379","lg5",21.1890018412487
"28","solcap_snp_c2_33509","lg5",22.8199069563715
"29","solcap_snp_c2_33511","lg5",22.8209069663717
"30","solcap_snp_c2_33512","lg5",22.8219069763718
"31","solcap_snp_c2_33513","lg5",23.562672443763
"32","solcap_snp_c2_33514","lg5",24.1663264808754
"33","solcap_snp_c2_33517","lg5",24.1771457325687
"34","solcap_snp_c2_33518","lg5",24.7295566390521
"35","solcap_snp_c2_33520","lg5",24.9357450840882
"36","solcap_snp_c2_33521","lg5",25.1848137565972
"37","solcap_snp_c2_33532","lg5",25.6247849100407
"38","solcap_snp_c1_10042","lg5",26.169493715571
"39","solcap_snp_c2_33536","lg5",26.1768991079554
"40","solcap_snp_c2_33545","lg5",26.7506971949313
"41","solcap_snp_c2_33563","lg5",27.3042217101852
"42","solcap_snp_c2_52069","lg5",27.6700992415775
"43","solcap_snp_c2_11605","lg5",29.7206717954313
"44","solcap_snp_c2_11604","lg5",30.1249791628149
"45","solcap_snp_c2_11766","lg5",31.3769931845875
"46","solcap_snp_c2_11747","lg5",31.8923498838068
"47","solcap_snp_c2_11739","lg5",32.2749593628516
"48","solcap_snp_c2_11712","lg5",32.8487617864201
"49","solcap_snp_c2_11707","lg5",33.6635791327611
"50","solcap_snp_c2_11696","lg5",34.6820530223054
"51","solcap_snp_c2_11695","lg5",34.9632701968487
"52","solcap_snp_c2_11685","lg5",36.1103195210041
"53","solcap_snp_c1_3767","lg5",37.1294140555965
"54","solcap_snp_c2_11925","lg5",39.6292456451683
"55","solcap_snp_c1_3793","lg5",39.6302456551685
"56","solcap_snp_c2_11923","lg5",39.9964971029441
"57","solcap_snp_c2_22986","lg5",42.3732941919084
"58","solcap_snp_c2_22959","lg5",44.8061370847784
"59","solcap_snp_c1_7372","lg5",46.8373848998334
"60","solcap_snp_c2_23055","lg5",47.1264452128449
"61","solcap_snp_c2_23056","lg5",47.6142414352708
"62","solcap_snp_c2_50312","lg5",49.493394849667
"63","solcap_snp_c2_50314","lg5",49.496723912809
"64","solcap_snp_c2_50318","lg5",49.4977239228091
"65","solcap_snp_c2_50327","lg5",50.5436869822625
"66","solcap_snp_c2_50290","lg5",51.5445132189812
"67","solcap_snp_c2_50311","lg5",53.3067415228224
"68","solcap_snp_c2_50301","lg5",53.3135665909279
"69","solcap_snp_c2_50302","lg5",54.1649605954577
"70","solcap_snp_c2_50298","lg5",54.8256351041171
"71","solcap_snp_c2_51464","lg5",55.73556122774
"72","solcap_snp_c2_51478","lg5",58.359085196183
"73","solcap_snp_c2_51473","lg5",58.3600852061832
"74","solcap_snp_c2_51470","lg5",58.7587643201717
"75","solcap_snp_c1_14836","lg5",59.3635095313402
"76","solcap_snp_c2_50429","lg5",60.7031286193923
"77","solcap_snp_c2_50421","lg5",62.9659059527025
"78","solcap_snp_c2_47644","lg5",63.9423370294464
"79","solcap_snp_c2_47646","lg5",64.105777717984
"80","solcap_snp_c2_47598","lg5",65.2876602560954
"81","solcap_snp_c2_47597","lg5",65.4771621938496
"82","solcap_snp_c2_52436","lg5",67.1868468537854
"83","solcap_snp_c2_47284","lg5",68.2746373616375
"84","solcap_snp_c2_47252","lg5",68.5568353958598
"85","solcap_snp_c2_38221","lg5",69.0600229616836
"86","solcap_snp_c2_38197","lg5",69.2397592420068
"87","solcap_snp_c2_38193","lg5",69.6777281274503
"88","solcap_snp_c2_38171","lg5",70.2612111155635
"89","solcap_snp_c2_38163","lg5",70.3007850986864
"90","solcap_snp_c2_38229","lg5",70.4321897147097
"91","solcap_snp_c2_45539","lg5",72.9108725043874
"92","solcap_snp_c2_45522","lg5",72.9330895633464
"93","solcap_snp_c2_45517","lg5",73.6331878055686
"94","solcap_snp_c2_37697","lg5",76.9843799191493
"95","solcap_snp_c2_37692","lg5",76.990659162551
"96","solcap_snp_c1_11267","lg5",78.0785813819123
"97","solcap_snp_c2_37066","lg5",78.0795813919125
"98","solcap_snp_c1_11078","lg5",78.6521319760688
"99","solcap_snp_c2_37031","lg5",78.653131986069
"100","solcap_snp_c1_15292","lg5",81.0279430249533
"101","solcap_snp_c2_43523","lg5",81.4109596115025
"102","solcap_snp_c2_43519","lg5",82.4207342686553
"103","solcap_snp_c2_43516","lg5",83.0927698409974
"104","solcap_snp_c1_14645","lg5",84.9495404754514
"105","solcap_snp_c2_32877","lg5",85.2148238391922
"106","solcap_snp_c2_32854","lg5",86.4431127605004
"107","solcap_snp_c2_51899","lg5",88.6293090834969
"108","solcap_snp_c2_43663","lg5",89.0927110116708
"109","solcap_snp_c2_24329","lg5",89.3748634268469
"110","solcap_snp_c1_15864","lg5",90.5344930497417
"111","solcap_snp_c2_38490","lg5",91.2738116826638
"112","solcap_snp_c2_56464","lg5",91.6300493093726
"113","solcap_snp_c2_54598","lg5",93.3936151841988
"114","solcap_snp_c2_53298","lg5",94.1429236489425
"115","solcap_snp_c2_53307","lg5",94.5824520055471
"116","solcap_snp_c2_38738","lg5",96.3455405082276
"117","solcap_snp_c2_38737","lg5",96.3465405182277
"118","solcap_snp_c2_44034","lg5",96.3475405282279
"119","solcap_snp_c1_12966","lg5",96.348540538228
"120","solcap_snp_c2_54725","lg5",96.3495405482281
"121","solcap_snp_c2_37554","lg5",97.7224489634176
"122","solcap_snp_c2_37550","lg5",98.2360721124309
"123","solcap_snp_c2_53962","lg5",98.237072122431
"124","solcap_snp_c2_54742","lg5",98.7031234947873
"125","solcap_snp_c2_54741","lg5",99.1696826348534
"126","solcap_snp_c2_49286","lg5",99.5831132856556
"127","solcap_snp_c2_49278","lg5",99.5841132956558
"128","solcap_snp_c2_48317","lg5",101.079811021697
"129","solcap_snp_c2_44073","lg5",101.080811031697
"130","solcap_snp_c1_12835","lg5",101.081811041697
"131","solcap_snp_c2_43566","lg5",102.37501078843
"132","solcap_snp_c2_43568","lg5",102.38435174124
"133","solcap_snp_c1_5058","lg5",103.13598362818
"134","solcap_snp_c2_15676","lg5",103.389116374541
"135","solcap_snp_c2_15722","lg5",103.592796743956
"136","solcap_snp_c2_49666","lg5",104.088484590289
"137","solcap_snp_c2_52058","lg5",104.955662315566
"138","solcap_snp_c2_52054","lg5",105.954190633465
"139","solcap_snp_c2_52053","lg5",106.426985387186
"140","solcap_snp_c1_15536","lg5",107.004118046372
"141","solcap_snp_c1_15690","lg5",107.269399056812
"142","solcap_snp_c1_12912","lg5",108.000655881412
"143","solcap_snp_c2_56304","lg5",108.001655891412
"144","solcap_snp_c2_49587","lg5",109.32632045305
"145","solcap_snp_c1_4464","lg5",109.635617229486
